"First Name","First Name"
"Last Name","Last Name"
Email,Email
Price,Price
"Date Subscribed","Date Subscribed"
"Last Notification","Last Notification"
"Send Count","Send Count"
Guest,Guest
Action,Action
Remove,Remove
Websites,Websites
Name,Name
SKU,SKU
Count,Count
"First Subscription","First Subscription"
"Last Subscription","Last Subscription"
"Total Number of Subscriptions","Total Number of Subscriptions"
"Customers Awaiting Notification","Customers Awaiting Notification"
"An error occurred while deleting the item from Subscriptions: %s","An error occurred while deleting the item from Subscriptions: %s"
"An error occurred while deleting the item from Subscriptions.","An error occurred while deleting the item from Subscriptions."
Alerts,Alerts
"Price Alerts","Price Alerts"
"The item has been deleted from Subscriptions.","The item has been deleted from Subscriptions."
"Stock Alerts","Stock Alerts"
"Stock Alerts ","Stock Alerts "
"Not enough parameters.","Not enough parameters."
"Please enter a valid email address.","Please enter a valid email address."
"Thank you! You are already subscribed to this product.","Thank you! You are already subscribed to this product."
"Alert subscription has been saved.","Alert subscription has been saved."
"Unable to update the alert subscription.","Unable to update the alert subscription."
"Sign up to get notified when this configuration is back in stock","Sign up to get notified when this configuration is back in stock"
"Out of Stock","Out of Stock"
"Sign up for price alert","Sign up for price alert"
"Notify Me","Notify Me"
"Grouped product items","Grouped product items"
"Product Name","Product Name"
Qty,Qty
Availability,Availability
"Out of stock","Out of stock"
"No options of this product are available.","No options of this product are available."
"Notify me to back in stock notification","Notify me to back in stock notification"
Image,Image
Product,Product
"Notify Me On","Notify Me On"
"Remove This Item","Remove This Item"
"Are you sure you would like to remove this item from the subscriptions?","Are you sure you would like to remove this item from the subscriptions?"
"There are no active subscriptions.","There are no active subscriptions."
"Out of Stock Notifications","Out of Stock Notifications"
General,General
"Use Configurable Image","Use Configurable Image"
"
                        Use configurable product image for simple product subscriptions on account page
                    ","
                        Use configurable product image for simple product subscriptions on account page
                    "
"Greeting Text for Email","Greeting Text for Email"
"Minimum Stock Quantity","Minimum Stock Quantity"
"
                        Minimum stock quantity before the email is triggered.
                    ","
                        Minimum stock quantity before the email is triggered.
                    "
"Stock Subscribtion","Stock Subscribtion"
"Disable Subscribe For Guest","Disable Subscribe For Guest"
"Price Subscribtion","Price Subscribtion"
