Country,Country
Region/State,Region/State
City,City
"Zip/Postal Code From","Zip/Postal Code From"
"Zip/Postal Code To","Zip/Postal Code To"
>=,>=
<=,<=
"Shipping Price","Shipping Price"
"Shipping Method","Shipping Method"
Vendor,Vendor
"Export CSV","Export CSV"
"Guidelines - Shipping Method","Guidelines - Shipping Method"
"Add New Matrix Rate","Add New Matrix Rate"
"The Item has been deleted.","The Item has been deleted."
"We can't find a Item to delete.","We can't find a Item to delete."
"Country Code","Country Code"
"State/Region Code","State/Region Code"
condition_from,condition_from
condition_to,condition_to
"No file has been selected. Please select file.","No file has been selected. Please select file."
"Csv Field not match.","Csv Field not match."
"You saved this matrix rates.","You saved this matrix rates."
"Invalid file formate. Upload only csv file.","Invalid file formate. Upload only csv file."
"Duplicate Row #%1 (Country ""%2"" and City ""%3"")","Duplicate Row #%1 (Country ""%2"" and City ""%3"")"
"Something went wrong while saving the matrix rates.","Something went wrong while saving the matrix rates."
"Shipping Rates","Shipping Rates"
"Duplicate (Country ""%1"", City ""%2"", Category Id ""%3"" and Price ""%4"")","Duplicate (Country ""%1"", City ""%2"", Category Id ""%3"" and Price ""%4"")"
"Duplicate (Country ""%1"", City ""%2"", and Price ""%3"")","Duplicate (Country ""%1"", City ""%2"", and Price ""%3"")"
Free,Free
"Weight vs. Destination","Weight vs. Destination"
"Order Subtotal vs. Destination","Order Subtotal vs. Destination"
"# of Items vs. Destination","# of Items vs. Destination"
Weight,Weight
"Order Subtotal","Order Subtotal"
"# of Items","# of Items"
"Please correct Matrix Rate code type: %1.","Please correct Matrix Rate code type: %1."
"Please correct Matrix Rate code for type %1: %2.","Please correct Matrix Rate code for type %1: %2."
"Please correct Matrix Rates File Format.","Please correct Matrix Rates File Format."
"Something went wrong while importing matrix rates.","Something went wrong while importing matrix rates."
"We couldn't import this file because of these errors: %1","We couldn't import this file because of these errors: %1"
"Please correct Matrix Rates format in Row #%1. Invalid Number of Rows","Please correct Matrix Rates format in Row #%1. Invalid Number of Rows"
"Please correct Country ""%1"" in Row #%2.","Please correct Country ""%1"" in Row #%2."
"Please correct Region/State ""%1"" in Row #%2.","Please correct Region/State ""%1"" in Row #%2."
"Please correct %1 From ""%2"" in Row #%3.","Please correct %1 From ""%2"" in Row #%3."
"Please correct %1 To ""%2"" in Row #%3.","Please correct %1 To ""%2"" in Row #%3."
"Please correct Shipping Price ""%1"" in Row #%2.","Please correct Shipping Price ""%1"" in Row #%2."
"Please correct Shipping Method ""%1"" in Row #%2.","Please correct Shipping Method ""%1"" in Row #%2."
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", City ""%4"", Zip from ""%5"", Zip to ""%6"", From Value ""%7"", To Value ""%8"", Shipping Method ""%9"", and Vendor Id ""%10"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", City ""%4"", Zip from ""%5"", Zip to ""%6"", From Value ""%7"", To Value ""%8"", Shipping Method ""%9"", and Vendor Id ""%10"")"
"* Required Fields","* Required Fields"
Region,Region
"Zipcode From","Zipcode From"
"Zipcode To","Zipcode To"
"Condition From","Condition From"
"Condition To","Condition To"
Price,Price
Cost,Cost
Save,Save
Export,Export
Help,Help
"Only .CSV can upload","Only .CSV can upload"
"Import Csv","Import Csv"
"Matrix Rates","Matrix Rates"
"Zipcode From *","Zipcode From *"
"Zipcode To *","Zipcode To *"
Action,Action
All,All
From,From
To,To
Add,Add
Cancel,Cancel
"ID #","ID #"
"(' . . ')","(' . . ')"
shipping_method,shipping_method
Actions,Actions
Edit,Edit
Delete,Delete
"Fields Description","Fields Description"
"Country :","Country :"
"Region :","Region :"
"City :","City :"
"Zipcode From :","Zipcode From :"
"Zipcode To :","Zipcode To :"
"Order Subtotal From :","Order Subtotal From :"
"Order Subtotal To :","Order Subtotal To :"
"Weight From :","Weight From :"
"Weight To :","Weight To :"
"# of Items From :","# of Items From :"
"# of Items To :","# of Items To :"
"Price :","Price :"
"Please enter only numbers in Price.","Please enter only numbers in Price."
"Order Subtotal To value always higher than Order Subtotal From value.","Order Subtotal To value always higher than Order Subtotal From value."
OK,OK
"Field ","Field "
" is required."," is required."
"RB Shipping Matrix","RB Shipping Matrix"
Enabled,Enabled
"Available to Vendor","Available to Vendor"
" Allow Anyhow"," Allow Anyhow"
Title,Title
Condition,Condition
"Include Virtual Products in Price Calculation","Include Virtual Products in Price Calculation"
Import,Import
"Use Numeric Zipcode Ranges","Use Numeric Zipcode Ranges"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Fee","Handling Fee"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
"Sort Order","Sort Order"
Guidelines,Guidelines
"Shipping & Handling (%1)","Shipping & Handling"
